coverage,rows_kept,tail_low_thr,tail_high_thr,accuracy,balanced_accuracy,precision,recall,f1,mcc,tail_q_each_side,source
0.020573108008817047,56,0.32533468544483185,0.7815434032678604,0.6071428571428571,0.6076923076923078,0.6428571428571429,0.6,0.6206896551724138,0.21483446221182986,0.01,single_I60_ma0_vol0
0.030124908155767818,82,0.3376831735670566,0.7726483199000358,0.6341463414634146,0.6370820668693009,0.7073170731707317,0.6170212765957447,0.6590909090909091,0.27121251999684587,0.015,single_I60_ma0_vol0
0.050698016164584865,138,0.35688653737306597,0.7602206155657768,0.6884057971014492,0.6953397212543554,0.782608695652174,0.6585365853658537,0.7152317880794702,0.38368286846562094,0.025,single_I60_ma0_vol0
0.10066127847171198,274,0.38363519459962847,0.7285535603761671,0.6934306569343066,0.6935956913560497,0.708029197080292,0.6879432624113475,0.697841726618705,0.38702631310365426,0.05,single_I60_ma0_vol0
0.2005878030859662,546,0.4147917300462723,0.6822944819927216,0.6666666666666666,0.6679647884467161,0.6227106227106227,0.6827309236947792,0.6513409961685823,0.33462893722920034,0.1,single_I60_ma0_vol0
0.020573108008817047,56,0.38427353143692017,0.5991183018684387,0.6607142857142857,0.6609195402298851,0.6785714285714286,0.6551724137931034,0.6666666666666666,0.32163376045133846,0.01,multi_20_60_ma1_vol1
0.030124908155767818,82,0.3935686431825161,0.596355819106102,0.6707317073170732,0.6708333333333334,0.6829268292682927,0.6666666666666666,0.6746987951807228,0.3415650255319866,0.015,multi_20_60_ma1_vol1
0.050698016164584865,138,0.4046830743551254,0.5897247061133385,0.6884057971014492,0.690365025466893,0.7391304347826086,0.6710526315789473,0.7034482758620689,0.3787657553862423,0.025,multi_20_60_ma1_vol1
0.10066127847171198,274,0.42074539959430696,0.5783568382263183,0.6496350364963503,0.6522634860395771,0.7153284671532847,0.632258064516129,0.6712328767123288,0.301887080151461,0.05,multi_20_60_ma1_vol1
0.2005878030859662,546,0.43845527470111845,0.5624210655689239,0.5732600732600732,0.5733082706766917,0.5860805860805861,0.5714285714285714,0.5786618444846293,0.14656833601216487,0.1,multi_20_60_ma1_vol1
